sample,value,stdError
CV-13,17.634,0.016
CV-13,17.629,0.025
CV-13,17.603,0.029
CV-13,17.599,0.019
CV-13,17.592,0.020
1CO,17.119,0.113
1CO,17.119,0.113
1CO,17.180,0.133
1CO,17.240,0.103
1CO,17.351,0.104
1CO,17.401,0.123
1CO,17.431,0.113
1CO,17.492,0.123
1CO,17.613,0.133
KARG-15-08,17.118,0.155
KARG-15-08,17.040,0.022
KARG-15-08,17.032,0.039
KARG-15-08,17.024,0.224
KARG-15-08,17.020,0.015
KARG-15-08,17.009,0.031
KARG-15-08,16.989,0.089
KARG-15-08,16.972,0.099
KARG-15-08,16.969,0.041
KARG-15-08,16.942,0.041
KARG-15-08,16.929,0.041
KARG-15-08,16.922,0.087
KARG-15-09,17.028,0.032
KARG-15-09,16.997,0.023
KARG-15-01,16.854,0.012
KARG-15-01,16.850,0.014
KARG-15-01,16.849,0.016
KARG-15-01,16.846,0.021
KARG-15-01,16.836,0.015
Toba-Blanca,16.883,0.018
Toba-Blanca,16.859,0.038
Toba-Blanca,16.823,0.030
CV-10,16.877,0.029
CV-10,16.833,0.025
CV-10,16.760,0.034
CV-10,16.751,0.057
1CO3,16.397,0.088
1CO3,16.468,0.098
1CO3,16.601,0.086
1CO3,16.644,0.081
1CO3,16.656,0.083
1CO3,16.667,0.113
1CO3,16.678,0.079
1CO3,16.685,0.082